fuel_type,body_type,kilometer,transmission_type,owner_no,brand,model,model_year,price,registration_year,seats_count,RDO_no,car_engine_cc,mileage,color,gear_box,location,age
Diesel,SUV,90000,Manual,1,Maruti,Maruti Vitara Brezza,2017,795000.0,2017,5,,1248,24.3,Yellow,5,bangalore,6
Petrol,SUV,9554,Manual,1,Hyundai,Hyundai Venue,2019,1085000.0,2019,5,KA04,998,18.27,Blue,6,bangalore,4
Petrol,SUV,14000,Automatic,1,Jeep,Jeep Compass,2022,2590000.0,2022,5,KA01,1368,14.1,Green,7,bangalore,1
Diesel,SUV,74499,Manual,2,Renault,Renault Duster,2013,516000.0,2013,5,KA03,1461,20.45,Brown,5,bangalore,10
Petrol,SUV,56211,Automatic,2,Ford,Ford Ecosport,2017,777000.0,2017,5,KA03,1497,14.8,Grey,6,bangalore,6
Petrol,Hatchback,9001,Manual,1,Honda,Honda Jazz,2019,753000.0,2019,5,KA04,1199,18.2,White,5,bangalore,4
Diesel,SUV,65457,Automatic,2,Mahindra,Mahindra XUV500,2017,1226000.0,2017,7,KA51,1997,16.0,Orange,6,bangalore,6
Petrol,Hatchback,23682,Manual,1,Honda,Honda Jazz,2017,725000.0,2017,5,KA53,1199,18.7,Red,5,bangalore,6
Diesel,Sedan,50000,Manual,1,Hyundai,Hyundai Verna,2020,1150000.0,2020,5,KA03,1582,22.0,Red,6,bangalore,3
Diesel,Hatchback,134557,Manual,2,Maruti,Maruti Swift,2015,629000.0,2015,5,KA53,1248,25.2,White,5,bangalore,8
Petrol,Sedan,96567,Manual,2,Maruti,Maruti Swift Dzire,2013,447000.0,2013,5,KA53,1197,22.41,Blue,5,bangalore,10
Petrol,Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,400000.0,2015,5,KA51,998,23.1,White,5,bangalore,8
Diesel,MUV,83007,Manual,2,Maruti,Maruti Ertiga,2014,786000.0,2015,7,KA51,1248,20.77,White,5,bangalore,8
Petrol,Hatchback,34000,Manual,1,Honda,Honda Jazz,2018,745000.0,2018,5,KA02,1199,18.7,Maroon,5,bangalore,5
Petrol,Hatchback,81634,Automatic,1,Hyundai,Hyundai Grand i10,2014,490000.00000000006,2014,5,KA25,1197,18.9,White,4,bangalore,9
Petrol,Sedan,57284,Automatic,2,Honda,Honda City,2017,942000.0,2017,5,KA53,1497,18.0,Brown,4,bangalore,6
Petrol,SUV,70000,Automatic,2,Ford,Ford Ecosport,2016,675000.0,2016,5,KA53,1499,15.63,Silver,6,bangalore,7
Petrol,Hatchback,70000,Manual,2,Honda,Honda Brio,2013,330000.0,2013,5,KA04,1198,19.4,Red,5,bangalore,10
Petrol,Sedan,46429,Automatic,2,Toyota,Toyota Yaris,2018,875000.0,2018,5,KA05,1496,17.8,White,7,bangalore,5
Petrol,Hatchback,17624,Manual,1,Maruti,Maruti Baleno,2017,869000.0,2018,5,KA05,1197,21.4,White,5,bangalore,5
